08出品者,08場所,フィールド1,神代０７,神代０８,07場所,07出品者,出典,修正・レコード内追加,修正事項,出所･担当等,品種名,交配親・産地,分類,花色,作出命名者,所属・Sec/原種　,発表見/掲載,読み,掲載,追加,フィールド3,フィールド2,担当者,入
,,,,,,,BUX ILTB,,,,Etincelle,,tuber hyb.,red,Crousse,,1885,,,,,,,
,,,,,,,BUX ILTB,,,,Etna,Sedenii x ?,tuber hyb.,red,Lemoine,,1875 Gar (0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Enta,,tuber hyb.,oran/scarlet,Lemoine,,1882 IH(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Enta,,tuber hyb.,cerise/pink,,,1935 GC(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Etoile,,tuber hyb.,pink/salmon,,,1897CLVH1898,,1898,,,,,
,,,,,,,BUX ILTB,,,,Etoile Blanche,,tuber hyb.,white,,,1910 RH(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Etoile d Argent,,tuber hyb.,,Liabaud,,1888 G'a(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Etoile de Feu,,tuber hyb.,red,Bordeaux,,1878 RHB(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Etoile d'Or,,tuber hyb.,,,,AvdH (0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Etoile d'Or,,tuber hyb.,yellow,L. VanHoutte,,1895CLVH1896,,1896,,,,,
,,,,,,,BUX ILTB,,,,Etoile Rose,,tuber hyb.,,,,AvdH (0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Etoile Siamoise,,tuber hyb.,yellow,Vallerand,,1905CV1905,,1905,,,,,
,,,,,,,BUX ILTB,,,,Etonnement,,tuber hyb.,,Hartland,,1902 GC(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Ettie Weston,,tuber hyb.,orange,,,1883 GC,,,,,,,
,,,,,,,BUX RHS,,,,Eudoxa,burkei x decora,tuber hyb.,,Veitch,,(0),ﾕｰﾄﾞｸｻ,(0),,,,,
,,,,,,,BUX HG,,,,Eugene Engesser,form of Nero,tuber hyb.,carmine,Froebel,,1884 (0),ﾕｰｼﾞﾝ･ｴﾝｹﾞｻｰ,(0),,,,,
,,,,,,,BUX ILTB,,,,Eugene Labiche,,tuber hyb.,yellow,,,CZ 1884,,1884,,,,,
,,,,,,,BUX ILTB,,,,Eugene Boissy,,tuber hyb.,,Malet,,1881 IH(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Eugene Hengesser,,tuber hyb.,,Froebel,,188 BSHG(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Eugene Lequin,,tuber hyb.,oran/scarlet,Lequin,,1881 Gar(0),,(0),,,,,
,,○,,,,,BUX RH,,,,Eugene Pelet,Nana Rosea x Triomphe de Boulogne,z,,E. Poiret,,1905 (0),ﾕｰｼﾞﾝ･ﾍﾟﾚｯﾄ,(0),,,,,
,,,,,,,BUX ILTB,,,,Eugene Puteaux,,tuber hyb.,pink,P.C.?,,CCr 1879,,1879,,,,,
,,,,,,,BUX ILTB,,,,Eugene Rabau,,tuber hyb.,red,Crousse,,1883CCr1884,,1884,,,,,
,,,,,,,BUX DG,,,,Eugene Vallerand,,semp,,Lemoine,,1881 C(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Eugene Vallerand,,tuber hyb.,,A. Billard,,JSNHF1908,,1908,,,,,
,,,,,,,BUX ILTB,,,,Eugene Verdier,pearcei x ?,tuber hyb.,orange/red,Urbain,,1894 Gar(0),,(0),,,,,
,,○,,,,,BUX Beg'81,,,,Eugenio,,rhiz,,Paul Epple,,,ﾕｰｼﾞｪﾆｵ,,,,,,
,,○,,,,,BUX,,,,Euie Bee,Kenilu x suffruticosa,cane,,Asmussen,TX,1984,ｴｳｲ･ﾋﾞｰ,,,,,,
,,,,,,,BUX ILTB,,,,Eulalia,,tuber hyb.,orange/red,,,1890/92CPF1893,,1893,,,,,
,,○,,,,,BUX Beg'81,,,,Euma,bowerae x unk.,rhiz,,J. J. Karper,,,ﾕｰﾏ,,,,,,
,,,,,,,BUX ILTB,,,,Eunice,,tuber hyb.,pink,B&L,England,1913 (0),,(0),,,,,
,,○,○,,J-1,,ABS R#250,,,,Eunice Gray,echinosepala x venosa,shrub,white,Nuss,CA,1964,ﾕｰﾅｲｽ･ｸﾞﾚｲ,,,,,,○
,,○,,,,,BUX Fr,,,,Eunice-too,paulensis x velloziana,rhiz,,Elsie Frey,CA,1961 (2),ﾕｰﾅｲｽ･ﾂｰ,(2),,,,,
,,,,,,,BUX ILTB,,,,Eureka,,tuber hyb.,cream,,,CPF 1903,ﾕｰﾚｶ,1903,,,,,
,,,,,,,BUX RDSBD,,,,Eureka Bloodred,,semp,,Sluis-Groot/Zwaan,,1978list1979,ﾕｰﾚｶ･,1979,,,,,
,,,,,,,BUX RDSBD,,,,Eureka Deepred,,semp,,Sluis-Groot/Zwaan,,1978list1979,ﾕｰﾚｶ･,1979,,,,,
,,,,,,,BUX RDSBD,,,,Eureka Deeprose,,semp,,Zwaan-Pannevis,,1981list1983,ﾕｰﾚｶ･,1983,,,,,
,,,,,,,BUX RDSBD,,,,Eureka Pink,,semp,,Zwaan-Pannevis,,1981list1983,ﾕｰﾚｶ･,1983,,,,,
,,,,,,,BUX RDSBD,,,,Eureka Pink,,semp,,Sluis-Groot/Zwaan,,1978/79 list1979,ﾕｰﾚｶ･,1979,,,,,
,,,,,,,BUX RDSBD,,,,Eureka Rose,,semp,,Sluis-Groot/Zwaan,,1978list1979,ﾕｰﾚｶ･,1979,,,,,
,,,,,,,BUX RDSBD,,,,Eureka Rose-White,,semp,,Sluis-Groot/Zwaan,,1978list1979,ﾕｰﾚｶ･,1979,,,,,
,,,,,,,BUX RDSBD,,,,Eureka Scarlet,,semp,,Sluis-Groot/Zwaan,,1978list1979,ﾕｰﾚｶ･,1979,,,,,
,,,,,,,BUX RDSBD,,,,Eureka Scarlet,,semp,,Zwaan-Pannevis,,1981 list1983,ﾕｰﾚｶ･,1983,,,,,
,,,,,,,BUX RDSBD,,,,Eureka White,,semp,,Sluis-Groot/Zwaan,,List1979,ﾕｰﾚｶ･,1979,,,,,
,,,,,,,BUX Beg'77,,,,Eurek,,semp,,,,,,,,,,,
,,,,,,,BUX ILTB,,,,Eurydice,,tuber hyb.,,Lemoine,,1888AvdH(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Euterpe,,tuber hyb.,red,,,CLVH 1890,,1890,,,,,
,,,,,,,BUX ILTB,,,,Euterpe,,tuber hyb.,red,,,CPF 1893,,1893,,,,,
,,○,,,,,BUX RHB,,,,Eva Mary Fish,,z,,,,(0),ｴﾊﾞ･ﾏﾘｰ･ﾌｨｯｼｭ,(0),,,,,
,,○,,,,,BUX NYBG,,,,Evansiana Alba,,z,,,,194? (0),ｴﾊﾞﾝｼｱｰﾅ･ｱﾙﾊﾞ,(0),,,,,○
,,○,,,,,BUX Nis,,,,Eva Nutting,,rex,,Nisbet,CT,(0),ｴﾊﾞ･ﾅｯﾃｨﾝｸﾞ,(0),,,,,
,,○,,,,,BUX Beg'53,,,,Evansialis,imperialis x evansiana,rhiz,,Longmire,CA,1946p.73(1),ｴﾊﾞﾝｼｱﾘｽ,(1),,,,,
,,○,,,,,BUX Ev,,,,Eveleen's Improved Exquisite,,hiemalis,,Eveleen's cat.,England,194? (0),ｴﾌﾞﾘｰﾝｽﾞ･ｲﾝﾌﾟﾙｰﾌﾞﾄﾞ･ｴｸｽｷｭｼﾞｯﾄ,(0),,,,,
,,○,,,,,BUX JRHS,,,,Eveleens Orange,Flambeau x Flamboyant,hiemalis,vermilion,Weima & Eveleen,Holland,(3),ｴﾌﾞﾘｰﾝｽﾞ･ｵﾚﾝｼﾞ,(3),,,,,○
,,○,,,,,BUX Beg'47,,,,Evelyn,,rex,,Schwerdtfeger,CA,1947 (2),ｲﾌﾞﾘﾝ,(2),,,,,
,,,,,,,BUX ILTB,,,,Evelyn,,tuber hyb.,salmon,,,1916 B&L(0),ｲﾌﾞﾘﾝ,(0),,,,,
,,,,,,,BUX ILTB,,,,Evelyn Courtenay,,tuber hyb.,yellow,,,1906 B&L(0),,(0),,,,,
,,○,,,,,BUX Beg'52,,,,Evelyn Grant,macbethii x dichroa,cane,,Elsie Frey,CA,1945p.254(1),ｴﾌﾞﾘﾝ･ｸﾞﾗﾝﾄ,(1),,,,,
,,○,,,,,BUX Beg'52,,,,Evelyn Hargrove,,z,,Susie Zug,CA,(2),ｲﾌﾞﾘﾝ･ﾊｰｸﾞﾛｰﾌﾞ,(2),,,,,
,,,,,,,BUX ILTB,,,,Evelyn Tavenet,,tuber hyb.,salmon,Bertinii hybrid,,C (0),ｲﾌﾞﾘﾝ･,(0),,,,,
,,,,,,,BUX ILTB,,,,Evelyn Tavent,→ Evelyn Tavenet,tuber hyb.,,,,,ｲﾌﾞﾘﾝ･ﾀﾍﾞﾝﾄ,,,,,,
,,,,,,,BUX ILTB,,,,Evenement,,tuber hyb.,carmine,Crousse,,CCr 1888,,1888,,,,,
,,○,,,,,ABS R#557,,,,Evening Nymph,bowerae x Zip,rhiz,,Cole,CA,1973,ｲﾌﾞﾆﾝｸﾞ･ﾆﾝﾌ,,,,,,
,,○,,,,,ABS R#343,,,,Evening Star,Chumash x Joe Hayden,rhiz,pink,Lowe,FL,1971,ｲﾌﾞﾆﾝｸﾞ･ｽﾀｰ,,,,,,○'83
,,,,,,,BUX ILTB,,,,Everest,,tuber hyb.,white,B&L,England,1935 RHB(0),,(0),,,,,
,,○,,,,,ABS R#331,,,,Everglades Mist,Perle de Paris  x  rex cv,rex,pink,Lowe,FL,1970,ｴﾊﾞｰｸﾞﾚｰｽﾞ･ﾐｽﾄ,,,,,,
,,○,,,,,BUX WEP,,,,Evergreen,,rex,,Wepper,CA,1935 (0),ｴﾊﾞｰｸﾞﾘｰﾝ,(0),,,,,
,,,,,,,ABS R#699,,,,Ever Reddy,unk. tuber hybrid x herbacea,tuber hyb.,red,Woodriff,CA,1977,,,,,,,
,,,,,,,BUX Beg'49,,,,Ever-white,tuber x Sunderbruchii,tuber hyb.,,Woodriff,CA,194? (0),ｴﾊﾞｰ･ﾎﾜｲﾄ,(0),,,,,
,,○,,,,,BUX MLT,,,,Evie Naomi,Helen Nicholson x Laura Engelbert,cane,rose,Blanton,TX,1977,ｴﾋﾞｰ･ﾅｵﾐ,,,,,,○
,,,,,,,BUX RHS,,,,Excellent,,tuber hyb.,,Perkins,,1876 (0),ｴｸｾﾚﾝﾄ,(0),,,,,
,,,,,,,BUX ILTB,,,,Excelsior,Chelsoni x cinnabarina,tuber hyb.,,Veitch,,1875 C (0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Excelsior,baumannii x veitchii,tuber hyb.,red,Lemoine,,1892 C(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Excelsior,,tuber hyb.,pink,,,CC 1897,,1897,,,,,
,,,,,,,BUX ILTB,,,,Excelsior Compacta,,tuber hyb.,,Lemoine,,CL 1894,,1894,,,,,
,,,,,,,BUX ILTB,,,,Exc. Staatsminister von Pfeufer,,tuber hyb.,orange,,,1882 NM(0),,(0),,,,,
,,,,,,,BUX DC,,,,Eximia,Verschaffeltiana x rubro-venia,tuber hyb.,,Lemoine,,1860 (0),ｴｸｼﾐｱ,(0),,,,,
,,○,,,,,BUX C,,,,Eximia,rubro-venia x thwaitesii,rhiz,,Verschaffelt,,1860 (0),ｴｸｼﾐｱ,(0),,,,,
,,,,,,,BUX ILTB,,,,Exonia,,tuber hyb.,pink,Geeson,,1886 GC(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Exonian,,tuber hyb.,pink,Veitch,,1883 Gar(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Exoniensis,,tuber hyb.,orange,Lemoine,,1882 Gar(0),,(0),,,,,
,,○,,,,,BUX Beg'63,,,,Exotica           → brevirimosa,,shrub,,,,,ｴｸｿﾃｨｶ,,,,,,○'68
,,○,,,,,ABS R#549,,,,Exotic Peridot,Peridot sport,rex,white,Plant Shop,CA,1972,ｴｷｿﾞﾃｨｯｸ･ﾍﾟﾘﾄﾞｯﾄ,,,,,,○
,,,,,,,BUX ILTB,,,,Exploranteur Gentil,,tuber hyb.,salmon/rose,Vallerand,,1907 RHB(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Explorateur Merchand,,tuber hyb.,,Crousse,,AvdH (0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Explosion,,tuber hyb.,,Crousse,,1905AvdH(0),ｴｸｽﾌﾟﾛｰｼﾞｮﾝ,(0),,,,,
,,,,,,,BUX ILTB,,,,Explosion,,tuber hyb.,red,,,CV 1922,ｴｸｽﾌﾟﾛｰｼﾞｮﾝ,1922,,,,,
,,,,,,,BUX ILTB,,,,Exposition de Bruxelles,,tuber hyb.,,Crousse,,AvdH (0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Exposition de Louvain,,tuber hyb.,salmon,Crousse,,CCr 1879,,1879,,,,,
,,,,,,,BUX ILTB,,,,Exposition de Sceaux,,tuber hyb.,,Fontaine,,1879 Gar(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Exposition de Sceaux,,tuber hyb.,carmine,Thibaut&Keteleer,France,CCr1880,,1880,,,,,
,,,,,,,BUX ILTB,,,,Exquisite,,tuber hyb.,salmon/white,Cannell,,1903 Gar,ｴｸｽｷｭｼﾞｯﾄ,,,,,,
,,,,,,,BUX ILTB,,,,Exquisite,,tuber hyb.,pink,,,CGD (0),ｴｸｽｷｭｼﾞｯﾄ,(0),,,,,
,,○,,,,,BUX G&B,,,,Exquisite,,rex,,Ganse & Bissell cat.,,1892 (0),ｴｸｽｷｭｼﾞｯﾄ,(0),,,,,
,,○,,,,,BUX Z,,,,Exquisite,,hiemalis,pink,raised by C.J. Gleed for Veitch,,1911Z list1979,ｴｸｽｷｭｼﾞｯﾄ,1979,,,,,○
,,,,,,,BUX ILTB,,,,Ex. Staatsminister von Pfuiffer,,tuber hyb.,,A. Buchner,,NM 1882,,1882,,,,,
,,○,,,,,JBS3,,,,Eye Shadow,Romance Gray x The Chief,rex,pink,Misono I.,Japan,1979 ad97,ｱｲ･ｼｬﾄﾞｳ,ad97,,,,,○
,,,,,,,BUX ILTB,,,,F. Beford,syn. Mrs. Bedford,tuber hyb.,,B&L,England,1922JRHS(0),Ｆ・ﾋﾞﾌｫｰﾄﾞ,(0),,,,,
,,,,,,,BUX GI,,,,F. Bigland,→ Florence Bigland,tuber hyb.,,,,(0),Ｆ・ﾋﾞｯｸﾞﾗﾝﾄﾞ,(0),,,,,
,,,,,,,BUX ILTB,,,,F. Forckel,,tuber hyb.,red,L. VanHoutte,,CLVH 1885,,1885,,,,,
,,,,,,,BUX ILTB,,,,F. Lecointe,,tuber hyb.,rose,L. VanHoutte,,CLVH1875(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,F. Nettlefold,,tuber hyb.,scarlet,,,1889 Gar(0),,(0),,,,,
,,,,,,,BUX GC,,,,F. Siesmeyer,,tuber hyb.,,L. VanHoutte,,1875 (0),,(0),,,,,
,,,,,,,BUX ILTB,,,,F. Sperling,,tuber hyb.,white,Pfitzer,,1890CPF1893,,1893,,,,,
,,,,,,,BUX ILTB,,,,F. C. Calthrop,,tuber hyb.,scarlet,B&L,England,(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,F. E. de Middeleer,,tuber hyb.,orange/red,L. VanHoutte,,CLVH 1882,,1882,,,,,
,,,,,,,BUX ILTB,,,,F. E. Laing,,tuber hyb.,crimson,Wynne,,N (0),,(0),,,,,
,,,,,,,BUX ILTB,,,,F. M. dos Santos Viana,,tuber hyb.,yellow,L. VanHoutte,,1876CLVH1876,,1876,,,,,
,,○,,,,,BUX Gar,,,,F. W. Farrand,,z,,,,1882 (0),Ｆ.･Ｗ.･ﾌｧｰﾗﾝﾄﾞ,(0),,,,,
,,,,,,,BUX ILTB,,,,F. W. Walker,,tuber hyb.,scarlet,B&L,England,1912 Gar(0),,(0),,,,,
,,○,,,,,BUX PSB,,,,FA Brick,,shrub,white,Cole,CA,,ＦＡ･ﾌﾞﾘｯｸ,,,,,,
,,,,,,,BUX C,,,,Fable d' hiver,syn. Wintermarchen,semp,,,,(0),,(0),,,,,
,,○,,,,,BUX MLT1,,,,Fabulous Tom,Tom Ment x unk.,cane,salmon,Mentelos,,,ﾌｧﾋﾞｭｰﾗｽ･ﾄﾑ,,,,,,
,,○,,,,,BUX MLT1,,,,Faerie Sword,Inglewood x unk.,rhiz,,,,,ﾌｪｱﾘｰ･ｿｰﾄﾞ,,,,,,
,,,,,,,BUX HS,,,,Fair Maid of Texel,,semp,white,Henri Schilpzand,Holland,1951 (0),,(0),,,,,
,,○,,,,,BUX GC,,,,Fair Play,,z,,,,1884 (0),ﾌｪｱ･ﾌﾟﾚｲ,(0),,,,,
,,○,,,,,BUX FlE,,,,Fair Rosamond,coccinea x Gloire de Jouy,z,,Shepherd,CA,(0),ﾌｪｱ･ﾛｻﾞﾓﾝﾄﾞ,(0),,,,,
,,○,,,,,BUX Beg'50,,,,Fairy,syn. Faery      Dominica,rex,,,,(0),ﾌｪｱﾘｰ,(0),,,,,
,,,,,,,BUX TBG,,,,Fairy,tuber x imperialis,tuber hyb.,,Woodriff,CA,c1944,ﾌｪｱﾘｰ,,,,,,
,,○,,,,,BUX TBG,,,,Fairy,→ Fee,rex,,Teupel,Germany,,ﾌｪｱﾘｰ,,,,,,○'83
,,○,,,,,BUX Beg'61,,,,Fairy Carpet,,z,,Woodriff,CA,,ﾌｪｱﾘｰ･ｶｰﾍﾟｯﾄ,,,,,,
,,○,,,,,ABS R#608,,,,Fairyland,conchifolia var. rubrimacula cv Zip x Bokit,rhiz,white,Woodriff,CA,1974,ﾌｪｱﾘｰﾗﾝﾄﾞ,,,,,,○
,,,,,,,BUX WL,,,,Fairyland #101,,semp,,Woodriff,CA,194? (0),,(0),,,,,
,,,,,,,BUX MLT,,,,Fairylight,,tuber hyb.,,B&L,England,1935,,,,,,,
,,,,,,,BUX GC,,,,Fairy Queen,,semp,rose,Sutton,England,1893 (0),ﾌｪｱﾘｰ･,(0),,,,,
,,○,,,,,BUX K,,,,Faith,,rex,,,,(0),ﾌｪｲｽ,(0),,,,,
,,○,,,,,ABS R#586,,,,Fa La La,"Sir Roy Yewell  x  rex cv unk,",rex,,Cole,CA,,ﾌｧ･ﾗ･ﾗ,,,,,,
,,,,,,,BUX ILTB,,,,Falcon,,tuber hyb.,scarlet,,,GMag1894,,1894,,,,,
,,○,,,,,BUX PSB,,,,Falcon's Flight,Serenade x #4047,rex,,Cole,CA,undated list,ﾌｧﾙｺﾝｽﾞ･ﾌﾗｲﾄ,,,,,,
,,○,,,,,BUX PSB,,,,Falla,,rex,,Cole,CA,,ﾌｧﾗ,,,,,,
,,○,,,,,ABS R#584,,,,Falling Star,Big Red Jr. x Sir. Edwin Hodgins,rex,,Cole,CA,1973,ﾌｫｰﾘﾝｸﾞ･ｽﾀｰ,,,,,,
,,,,,,,BUX MLT,,,,Falstaff,,tuber hyb.,,B&L,England,1979,,,,,,,
,,,,,,,BUX ILTB,,,,Fanal Grandiflora,,tuber hyb.,red,Diener,,1964 VOG,,,,,,,
,,○,,,,,BUX TBG,,,,Fancy Fran,unk. parents,rex,,Dorsey,FL,,ﾌｧﾝｼｰ･ﾌﾗﾝ,,,,,,
,,○,,,,,BUX MLT1,,,,Fan Dancer,manicata Aureo-maculata Crispa x Brazilian Sp.,rhiz,,Nave,CA,1983,ﾌｧﾝ･ﾀﾞﾝｻｰ,,,,,,
,,○,,,,,BUX CABS,,,,Fandango,,rex,,,,,ﾌｧﾝﾀﾞﾝｺﾞ,,,,,,
,,○,,,,,BUX AvdH,,,,Fanny Droz,,rex,,Perrenaud,,(0),ﾌｧﾆｰ･ﾄﾞﾛｽﾞ,(0),,,,,
,,○,,,,,BUX MLT,,,,Fanny Tennesse,,rex,,Cole,CA,,ﾌｧﾆｰ･ﾃﾈｼｰ,,,,,,
,,,,,,,BUX ILTB,,,,Fantaisie,,tuber hyb.,,Vallerand,,1902AvdH(0),,(0),,,,,
,,○,,,,,BUX PSB,,,,Fantasia,,rex,,Logee,,GN,ﾌｧﾝﾀｼﾞｱ,,,,,,
,,○,,,,,BUX TBG,,,,Fantastic,conchifolia x pustulata,rhiz,,,,,ﾌｧﾝﾀｽﾃｨｯｸ,,,,,,
,,,,,,,BUX RDSBD,,,,Fantastica Scharlach,,semp,,Daehnfeldt,,1978/79 list1979,,1979,,,,,
,,,,,,,BUX RDSBD,,,,Fantastica Rosa,,semp,,Daehnfeldt,,1979list1979,,1979,,,,,
,,,,,,,BUX ILTB,,,,Fantasy,,tuber hyb.,yellow,,,1965B&L1965,ﾌｧﾝﾀｼﾞｰ,1965,,,,,
,,,,,,,BUX ILTB,,,,Fantasy,,tuber hyb.,red/salmon,,,1908 B&L(0),ﾌｧﾝﾀｼﾞｰ,(0),,,,,
,,,,,,,BUX ILTB,,,,Fantasy,rex  x  tuber,tuber hyb.,red,Woodriff,CA,1941 WL(0),ﾌｧﾝﾀｼﾞｰ,(0),,,,,
,,○,,,,,BUX Z,,,,Fantasy,mut. of Aphrodite Rose,hiemalis,rose,Mikkelsen,,1976Z list1979,ﾌｧﾝﾀｼﾞｰ,1979,,,,,
,,○,,,,,JBS3,,,,Fantasy,Sisquoc x Mityl,rhiz,white,Misono I.,Japan,1981,ﾌｧﾝﾀｼﾞｰ,,,,,,○
,,○,,,,,BUX Beg'50,,,,Fantasy,cathayana x ?,rex,,Knecht,,194? (0),ﾌｧﾝﾀｼﾞｰ,(0),,,,,○
,,,,,,,BUX JBS,,,,Fantasy Scarlet,,semp,scarlet,,,,ﾌｧﾝﾀｼﾞｰ･,,,,,,○
,,,,,,,BUX ILTB,,,,Farini,,tuber hyb.,red,,,1893 Gar(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Farinis,,tuber hyb.,striped,Farini?,,Gar 1895,,1895,,,,,
,,○,,,,,ABS R#751,,,,Far Out,solananthera x prismatocarpa x unk. tuber hybrid,trail/scand,pink,Woodriff,CA,1977,ﾌｧｰ･ｱｳﾄ,,,,,,
,,○,,,,,BUX TBG,,,,Fascination,Speculata x Pearlii,rhiz,,Dillard,KS,1959,ﾌｧｼﾈｰｼｮﾝ,,,,,,
,,○,,,,,BUX GC,,,,Fascination var. Brilliant,,z,,,,1931 (0),ﾌｧｼﾈｰｼｮﾝ･ﾌﾞﾘﾘｱﾝﾄ,(0),,,,,
,,,,,,,BUX ILTB,,,,Fascination,,tuber hyb.,white/rose,B&L,England,1931 (0),,(0),,,,,
,,○,,,,,BUX Gar,,,,Fascinator,→ Fascination,hiemalis,orange/salmon,,,1913 (0),ﾌｧｼﾅｰﾀｰ,(0),,,,,
,,,,,,,BUX ILTB,,,,Fashion,,tuber hyb.,buff,,,CC 1897,ﾌｧｯｼｮﾝ,1897,,,,,
,,,,,,,BUX ILTB,,,,Fatma,,tuber hyb.,,Lemoine,,1889AvdH(0),,(0),,,,,
,,○,,,,,BUX Beg'50,,,,Faureana grandis,,z,,Mrs. Praetorius,FL,1950 (0),ﾌｧｳﾚｱｰﾅ･ｸﾞﾗﾝﾃﾞｨｽ,(0),,,,,
,,○,,,,,BUX Beg'50,,,,Faureana Pearl Cascade,,z,,Mrs. Praetorius,FL,1950 (0),ﾌｧｳﾚｱｰﾅ･ﾊﾟｰﾙ･ｶｽｹｰﾄﾞ,(0),,,,,
,,,,,,,BUX ILTB,,,,Faust,,tuber hyb.,,Lemoine,,1880 F(0),,(0),,,,,
,,○,,,,,ABS R#144,,,,Faustine,Margaritacea x Lulu Bower,cane,,Bower,CA,1952 (1),ﾌｧｳｽﾃｨﾝ,(1),,,,,
,,○,,,,,BUX NM,,,,Favorabilis,,z,,,,1861 (0),ﾌｪｲﾎﾞﾗﾋﾞﾘｽ,(0),,,,,
,,,,,,,BUX ILTB,,,,Favori,,tuber hyb.,vermilion,Lemoine,,CL 1909,,1909,,,,,
,,,,,,,BUX ILTB,,,,Favorite,,tuber hyb.,,,,1918 G'a(0),,(0),,,,,
,,,,,,,BUX Gar,,,,Favorite,,semp,,,,1924 (0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Favorite,,tuber hyb.,gold/bronze,,,1924 Gar(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Favorite,,tuber hyb.,carmine/red,L. VanHoutte,,1895CLVH1896,,1896,,,,,
,,,,,,,BUX ILTB,,,,Favorite Grandiflora,,tuber hyb.,carmine,Diener,,1964 VOG,,,,,,,
,,,,,,,BUX ILTB,,,,Favourite,,tuber hyb.,blush,,,CC 1897,,1897,,,,,
,,,,,,,BUX Beg'62,,,,Favourite,,tuber hyb.,,Ege,Belgiun,,,,,,,,
,,○,,,,,BUX K,○,読み,,Fayette,,rex,,Mrs. Flaitz,CA,1958 (0),ﾌｪｲｴｯﾄ,(0),,,,植村,
,,○,,,,,BUX RHB,,,,Fearnley Sanders,bowringiana  x  rex,rex,,,,1906 C(0),ﾌｨｱﾝﾚｲ･ｻﾝﾀﾞｰｽ,(0),,,,,
,,○,,,,,BUX K,,,,"Feasti        syn.Erythrophylla,Beafsteak",manicata x hydrocotylifolia   syn. Waterlily,rhiz,pink,Feast,,1880 (0),ﾌｨｰｽﾃｨ,(0),,,,,
,,○,,,,,BUX E,,,,Feasti Erecta,syn. Bessie Buxton,rhiz,,,,(0),ﾌｨｰｽﾃｨ･ｴﾚｸﾀ,(0),,,,,
,,○,,,,,BUX K,,,,Feasti spiralis,→ Erythrophylla helix,rhiz,,,,(0),ﾌｨｰｽﾃｨ･ｽﾊﾟｲﾗﾙｽ,(0),,,,,
,,○,,,,,BUX G'a,,,,Fee                              →  Fairy,rex  x  diadema,rex,,Teupel,Germany,1928 (0),ﾌｨｰ,(0),,,,,○
,,,,,,,BUX RDSBD,,,,Fee Rosa,,semp,pink,Reinh. Schmid,,1967list1968,,1968,,,,,
,,,,,,,BUX RDSBD,,,,Fee Rot,,semp,red,Reinh. Schmid,,1967list1968,,1968,,,,,
,,,,,,,BUX RDSBD,,,,Fee Silver,,semp,white,Reinh. Schmid,,1967list1968,,1968,,,,,
,,,,,,,BUX ILTB,,,,Feeker,,tuber hyb.,pink,Woodriff,CA,1947 WL(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Feldberg,,tuber hyb.,cinnabar,Pfitzer,,1866CPF1888,,1888,,,,,
,,,,,,,BUX ILTB,,,,Felibre,,tuber hyb.,yellow,Lemoine,,1893AvdH(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Felicia,,tuber hyb.,yellow,,,GMag1894,,1894,,,,,
,,,,,,,BUX ILTB,,,,Felicie Cuvelier,,tuber hyb.,rose,,,RdeN (0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Felix Crousse,,tuber hyb.,scarlet,Crousse,,1884 RHS(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Felix Marcotte,,tuber hyb.,scarlet,Lemoine,,1893AvdH(0),,(0),,,,,
,,,,,,,BUX ILTB,,,,Felix Regamey,,tuber hyb.,rose,Lemoine,,RH (0),,(0),,,,,
,,○,,,,,ABS R#500,,,,Fenella,Pink Zulu x unk.,cane,,Burley,Aust.,1973,ﾌｪﾈﾗ,,,,,,
,,,,,,,BUX ILTB,,,,Fenelon,,tuber hyb.,carmine,L. VanHoutte,,1880 CLVH1881,,1881,,,,,
,,○,,,,,BUX AF,,,,Ferdinand de Lesseps,,z,,,,1890 (0),ﾌｪﾙﾃﾞｨﾅﾝﾄﾞ･ﾄﾞｩ･ﾚｾｯﾌﾟｽ,(0),,,,,
