08出品者,08場所,フィールド1,神代０７,神代０８,07場所,07出品者,出典,修正・レコード内追加,修正事項,出所･担当等,品種名,交配親・産地,分類,花色,作出命名者,所属・Sec/原種　,発表見/掲載,読み,掲載,追加,フィールド3,フィールド2,担当者,入
,,○,○,,G,森口,JBS3,,,,Anmitsuhime,solananthera x Kagayaki,trail/scand,,Kawanami J.,Japan,1986 ad97,ｱﾝﾐﾂﾋﾒ　　    　 (あんみつ姫）,ad97,,,,,○
,,○,,,,,BUX AUST,,,,Annan Charm,Orpha C. Fox  x  Lenore Olivier,cane,,Bolwell,Aust.,1992Feb ad97,ｱﾅﾝ･ﾁｬｰﾑ,ad97,,,,,
,,○,,,,,BUX,○,入,,Anne Jones,Lenore Olivier x dregei Glasgow,shrub,pink,Brad Thompson,CA,1990 ad97,ｱﾝ･ｼﾞｮｰﾝｽﾞ,ad97,,,,,○
,,○,,,,,BUX CB,,,,Annica,,rex,,Wm Bull  cat.,London,1883 ad97,ｱﾆｶ,ad97,,,,,
,,○,,,,,BUX,,,,Annie Ruth,Alice N. x Dumbo,cane,pink,Brad Thompson,CA,1992 ad97,ｱﾆｰ･ﾗｽ,ad97,,,,,
,,○,,,,,BUX AUST,,,,Anniversary,,z,,,,1992Feb ad97,ｱﾆﾊﾞｰｻﾘｰ,ad97,,,,,
,,○,,,,,BUX,,,,Apple Blossom Time,Jjm Wyrtzen x unk.,cane,white/pink,Dworkin,NY,1990 ad97,ｱｯﾌﾟﾙ･ﾌﾞﾗｯｻﾑ･ ﾀｲﾑ,ad97,,,,,
,,,,,,,BUX,,,,Aprigold,Apricot Beauty  sport,tuber hyb.,golden/cor,Oglevee　Ltd Gh.Mger,,1990 ad97,ｱﾌﾟﾘｺﾞｰﾙﾄﾞ,ad97,,,,,
,,○,,,,,BUX,,,,Arabian Night,Shalimar x U062,cane,rose/white,Brad Thompson,CA,1990 ad97,ｱﾗﾋﾞｱﾝ･ﾅｲﾄ,ad97,,,,,
,,○,,,,,JBS3,,,,Aratama,Lenore Olivier x maculata var. wightii,cane,,Kawanami J.,Japan,1980 ad97,ｱﾗﾀﾏ             (新珠）,ad97,,,,,○
,,○,,,,,BUX CB,,,,Arcturus,,rex,,Wm Bull  cat.,London,1883 ad97,ｱｰｸﾄｩﾙｽ,ad97,,,,,
,,○,,,,,BUX CB,,,,Argentea Hirsuta,,rex,,Wm Bull  cat.,London,1883 ad97,ｱﾙｹﾞﾝﾃｱ･ﾋﾙｽﾀ,ad97,,,,,
